ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. S-090 Носки (упаковка, 5 шт.);Материал: 78.8 % хлопок, 16.3 % полиэстер, 4,9% эластэн Бренд: Socks Страна бренда: Китай Размерный ряд S(1-3г) / M(3-5л) / L(5-8л) ;170;15;https://junior35.ru/catalog/socks/noski__upakovka_5_sht_art_s090;https://junior35.ru/assets/images/products/3564/prod/1.jpg;"Размер: S(1-3г) - Остаток: 7;Размер: M(3-5л) - Остаток: 7;Размер: L(5-8л) - Остаток: 16"
;Арт. BN-102 Футболка Boinc;Материал: 95 % хлопок, 5% эластен Бренд: Boinc Страна бренда: Турция Футболка на 9-12 мес,длина 36 см,ширина 29 см Футболка на 1-2 года,длина 38 см,ширина 30 см Футболка на 2-3 года,длина 40 см,ширина 31 см Футболка на 3-4 года,длина 45 см,ширина 32 см ;210;15;https://junior35.ru/futbolka-boinc-/-art.-bn-102.html;https://junior35.ru/assets/images/products/3743/prod/31.jpg;"Размер: 86 - Остаток: 1;Размер: 98 - Остаток: 3"
;Арт. BN-101 Футболка Boinc;Материал: 95 % хлопок, 5% эластен Бренд: Boinc Страна бренда: Турция Футболка на 9-12 мес,длина 36 см,ширина 29 см Футболка на 1-2 года,длина 38 см,ширина 30 см Футболка на 2-3 года,длина 40 см,ширина 31 см Футболка на 3-4 года,длина 45 см,ширина 32 см ;210;15;https://junior35.ru/futbolka-boinc-/-art.-bn-101.html;https://junior35.ru/assets/images/products/3742/prod/25.jpg;"Размер: 86 - Остаток: 5;Размер: 92 - Остаток: 5;Размер: 98 - Остаток: 5"
;Арт. BN-097 Футболка Boinc;Материал: 95 % хлопок, 5% эластен Бренд: Boinc Страна бренда: Турция Футболка на 8-9 лет,длина 53 см,ширина 41 см Футболка на 9-10 лет,длина 54 см,ширина 43 см Футболка на 10-11 лет,длина 55 см,ширина 45 см футболка на 11-12 лет,длина 56 см,ширина 47 см ;270;15;https://junior35.ru/futbolka-boinc-/-art.-bn-097.html;https://junior35.ru/assets/images/products/3738/prod/9.jpg;"Размер: 140 - Остаток: 1"
;Арт. BN-096 Футболка Boinc;Материал: 95 % хлопок, 5% эластен Бренд: Boinc Страна бренда: Турция Футболка на 8-9 лет,длина 53 см,ширина 41 см Футболка на 9-10 лет,длина 54 см,ширина 43 см Футболка на 10-11 лет,длина 55 см,ширина 45 см Футболка на 11-12 лет,длина 56 см,ширина 47 см ;270;15;https://junior35.ru/futbolka-boinc-/-art.-bn-096.html;https://junior35.ru/assets/images/products/3737/prod/18.jpg;"Размер: 134 - Остаток: 3;Размер: 140 - Остаток: 2;Размер: 146 - Остаток: 3"
;Арт. BN-089 Футболка Boinc;Материал: 95 % хлопок, 5% эластэн Бренд: Boinc Страна бренда: Турция Футболка на 86 см,длина 39 см,ширина 30 см Футболка на 92 см,длина 41 см,ширина 32 см Футболка на 98 см,длина 44 см,ширина 34 см Футболка на 104 см,длина 46 см,ширина 36 см ;205;15;https://junior35.ru/futbolka-boinc-/-art.-bn-089.html;https://junior35.ru/assets/images/products/3730/prod/32.jpg;"Размер: 86 - Остаток: 1;Размер: 92 - Остаток: 2"
;Арт. JM-026 Спортивные штаны Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай 2 года- длина 50 см, ширина 28 см 3 года- длина 52 см, ширина 29 см 4 года- длина 55 см, ширина 30 см 5 лет- длина 58 см, ширина 31 см 6 лет- длина 61 см, ширина 32 см 7 лет- длина 64 см, ширина 33 см ;345;15;https://junior35.ru/sportivnyie-shtanyi-jumping-meters-/-art.-jm-026.html;https://junior35.ru/assets/images/products/3766/prod/26.jpg;"Размер: 2 - Остаток: 5"
;Арт. JM-028 Футболка Jumping Meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай 2 года- длина 38 см, ширина 26 см 3 года- длина 40 см, ширина 29 см 4 года- длина 42 см, ширина 30 см 5 лет- длина 43 см, ширина 32 см 6 лет- длина 45 см, ширина 33 см 7 лет- длина 47 см, ширина 35 см ;250;15;https://junior35.ru/futbolka-jumping-meters-/-art.-jm-028.html;https://junior35.ru/assets/images/products/3768/prod/28.jpg;"Размер: 7 - Остаток: 1"
;Арт. MW-1425 Шорты Malwee;Бренд: Malwee Шорты на 2 года,длина 29 см,ширина 33 см Шорты на 3 года,длина 30 см,ширина 34 см Шорты на 4 года,длина 31 см,ширина 35 см Шорты на 5 лет,длина 34 см,ширина 37 см Шорты на 6 лет,длина 35 см,ширина 38 см Шорты на 7 лет,длина 37 см,ширина 39 см ;270;15;https://junior35.ru/shortyi-malwee-/-art.-mw-1425.html;https://junior35.ru/assets/images/products/3774/prod/183.jpg;"Размер: 3 - Остаток: 1"
;Арт. MW-1449 Футболка с длинным рукавом Malwee;Материал: 100 % хлопок Бренд: Malwee Страна бренда: Китай  ;260;15;https://junior35.ru/futbolka-s-dlinnyim-rukavom-malwee-/-art.-mw-1449.html;https://junior35.ru/assets/images/products/3823/prod/212.jpg;"Размер: 2 - Остаток: 1"
;Арт. MW-1453 Футболка с длинным рукавом Malwee;Материал: 100 % хлопок Бренд: Malwee Страна бренда: Китай  ;230;15;https://junior35.ru/futbolka-s-dlinnyim-rukavom-malwee-/-art.-mw-1453.html;https://junior35.ru/assets/images/products/3827/prod/216.jpg;"Размер: 2 - Остаток: 3"
;Арт. MW-1457 Футболка с длинным рукавом Malwee / Арт. MW-1457;Материал: 100 % хлопок Бренд: Malwee Страна бренда: Китай  ;270;15;https://junior35.ru/futbolka-s-dlinnyim-rukavom-malwee-/-art.-mw-1457.html;https://junior35.ru/assets/images/products/3831/prod/222.jpg;"Размер: 2 - Остаток: 5"
;Арт. JM-058 Спортивные штаны Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Спортивные штаны,маломерят!!! Спортивные штаны на 2 года,длина 52 см,шаговый 32 см,ширина 28 см Спортивные штаны на 3 года,длина 53 см,шаговый  33 см,ширина 29 см Спортивные штаны на 4 года,длина 57 см,шаговый 36 см,ширина 29 см Спортивные штаны на 5 лет,длина 60 см,шаговый 39 см,ширина 30 см Спортивные штаны на 6 лет,длина 64 см,шаговый 41 см,ширина 32 см Спортивные штаны на 7 лет,длина 65 см,шаговый 43 см,ширина 33 см ;360;15;https://junior35.ru/sportivnyie-shtanyi-jumping-meters-/-art.-jm-058.html;https://junior35.ru/assets/images/products/4015/prod/57.jpg https://junior35.ru/assets/images/products/4015/prod/5701.jpg;"Размер: 2 - Остаток: 9;Размер: 3 - Остаток: 2"
