ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. UN-267 Трусы;Бренд: Underwear  ;60;15;https://junior35.ru/trusyi-/-art.-un-267.html;https://junior35.ru/assets/images/products/5159/prod/293.jpg;"Размер: 122-128 - Остаток: 2"
;Арт. UN-266 Трусы;Бренд: Underwear  ;60;15;https://junior35.ru/trusyi-/-art.-un-266.html;https://junior35.ru/assets/images/products/5158/prod/287.jpg;"Размер: 3-4г - Остаток: 2"
;Арт. UN-264 Трусы;Бренд: Underwear  ;60;15;https://junior35.ru/trusyi-/-art.-un-264.html;https://junior35.ru/assets/images/products/5156/prod/291.jpg https://junior35.ru/assets/images/products/5156/prod/292.jpg;"Размер: 2-3г - Остаток: 5;Размер: 3-4г - Остаток: 4"
;Арт. UN-263 Трусы;Бренд: Underwear  ;60;15;https://junior35.ru/trusyi-/-art.-un-263.html;https://junior35.ru/assets/images/products/5155/prod/294.jpg;"Размер: 2-3г - Остаток: 3;Размер: 3-4г - Остаток: 4"
;Арт. UN-262 Трусы;Бренд: Underwear  ;60;15;https://junior35.ru/trusyi-/-art.-un-262.html;https://junior35.ru/assets/images/products/5154/prod/290.jpg https://junior35.ru/assets/images/products/5154/prod/289.jpg;"Размер: 122-128 - Остаток: 4"
;Арт. UN-237 Трусы;Бренд: Underwear  ;35;15;https://junior35.ru/trusyi-/-art.-un-237.html;https://junior35.ru/assets/images/products/5129/prod/285.jpg;"Размер: 8-10 л - Остаток: 1"
;Арт. UN-238 Трусы;Бренд: Underwear  ;35;15;https://junior35.ru/trusyi-/-art.-un-238.html;https://junior35.ru/assets/images/products/5130/prod/286.jpg;"Размер: 4-6 л - Остаток: 13;Размер: 6-8л - Остаток: 34"
;Арт. UN-236 Трусы;Бренд: Underwear  ;35;15;https://junior35.ru/trusyi-/-art.-un-236.html;https://junior35.ru/assets/images/products/5128/prod/284.jpg;"Размер: 8-10 л - Остаток: 2"
;Арт. UN-226 Трусы;Бренд: Underwear  ;35;15;https://junior35.ru/trusyi-/-art.-un-226.html;https://junior35.ru/assets/images/products/5118/prod/274.jpg;"Размер: 4 г - Остаток: 5"
;Арт. UN-232 Трусы;Бренд: Underwear  ;35;15;https://junior35.ru/trusyi-/-art.-un-232.html;https://junior35.ru/assets/images/products/5124/prod/279.jpg;"Размер: 4-5 л - Остаток: 2"
;Арт. UN-230 Трусы;Бренд: Underwear  ;35;15;https://junior35.ru/trusyi-/-art.-un-230.html;https://junior35.ru/assets/images/products/5122/prod/278.jpg;"Размер: 9-10л - Остаток: 2"
;Арт. UN-216 Трусы;Бренд: Underwear  ;35;15;https://junior35.ru/trusyi-/-art.-un-216.html;https://junior35.ru/assets/images/products/5108/prod/263.jpg https://junior35.ru/assets/images/products/5108/prod/264.jpg;"Размер: 86-92 - Остаток: 13;Размер: 98-104 - Остаток: 2"
