ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. BR-004 Платье Breeze;Материал: 95 % хлопок, 5% эластен Бренд: Breeze Страна бренда: Турция  ;370;15;https://junior35.ru/catalog/breeze/plate_breeze_art_br004;https://junior35.ru/assets/images/products/3376/prod/004.jpg;"Размер: 2 - Остаток: 1;Размер: 3 - Остаток: 2"
;Арт. S-042 Носки (3 шт.);Материал: 70% хлопок, 25% полиамид, 5% эластен  ;80;15;https://junior35.ru/noski-(3-sht.)-/-art.-s-042.html;https://junior35.ru/assets/images/products/2898/prod/4.jpg;"Размер: 62-68 - Остаток: 32"
;Арт. PK-026 Платье Paty kids;Материал: 95 % хлопок, 5% эластэн Бренд: Party Kids Страна бренда: Турция  ;460;15;https://junior35.ru/catalog/paty_kids/plate__paty_kids_art_pk026;https://junior35.ru/assets/images/products/3410/prod/028.jpg;"Размер: 2-3 года - Остаток: 1"
;Арт. LM-1143 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;360;15;https://junior35.ru/plate-little-maven-/-art.-lm-1143.html;https://junior35.ru/assets/images/products/2654/prod/64.jpg;"Размер: 2 - Остаток: 5"
;Арт. LM-660 Платье Little Maven;Материал: 100% хлопок Бренд: Little Maven Страна бренда: США  ;220;15;https://junior35.ru/catalog/littlemaven/plate_little_maven_art_lm660;https://junior35.ru/assets/images/products/1375/prod/660.jpg;"Размер: 18 мес - Остаток: 3"
;Арт. S-082 Носки Caramella (подарочная упаковка, 4 шт.);Материал: 80%хлопок,17 % полиэстер, 3% эластен Бренд: Socks  ;315;15;https://junior35.ru/noski-caramella-(podarochnaya-upakovka,-4-sht.)-/-art.-s-082.html;https://junior35.ru/assets/images/products/3181/prod/76.jpg;"Размер: S(1-3г) - Остаток: 7;Размер: M(3-5л) - Остаток: 19;Размер: L(5-8л) - Остаток: 13"
;Арт. S-079 Носки Caramella (подарочная упаковка, 4 шт.);Материал: 80%хлопок,17 % полиэстер, 3% эластен Бренд: Socks  ;315;15;https://junior35.ru/noski-caramella-(podarochnaya-upakovka,-4-sht.)-/-art.-s-079.html;https://junior35.ru/assets/images/products/3178/prod/77.jpg;"Размер: S(1-3г) - Остаток: 2;Размер: M(3-5л) - Остаток: 5"
;Арт. S-086 Носки махровые (подарочная упаковка, 4 шт.);Материал: 83%хлопок,14 % полиэстер, 3% эластен Бренд: Socks  ;320;15;https://junior35.ru/catalog/socks/noski_makhrovye_podarochnaya_upakovka_4_sht_art_s086;https://junior35.ru/assets/images/products/3185/prod/15.jpg;"Размер: M(3-5л) - Остаток: 16"
;Арт. S-085 Носки махровые (подарочная упаковка, 4 шт.);Материал: 83%хлопок,4 % полиэстер, 3% эластен Бренд: Socks  ;320;15;https://junior35.ru/catalog/socks/noski_makhrovye_podarochnaya_upakovka_4_sht_art_s085;https://junior35.ru/assets/images/products/3184/prod/16.jpg;"Размер: M(3-5л) - Остаток: 9"
;Арт. LM-1101 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;330;15;https://junior35.ru/plate-little-maven-/-art.-lm-1101.html;https://junior35.ru/assets/images/products/2427/prod/1596.jpg;"Размер: 2 - Остаток: 1"
